horizon,kind,requested_ms,n_usable,pct_usable,realized_median_ms,realized_p90_ms
ms100,clock,100.0,1446981,67.03063808261136,112.521913,138.244392
ms250,clock,250.0,1864457,86.36999545093636,271.283312,332.90631160000004
ms500,clock,500.0,2067545,95.77794083993689,525.773089,624.2767338000001
ms1000,clock,1000.0,2144991,99.36558628721362,1026.934077,1149.444879
ms2000,clock,2000.0,2157802,99.95904916231449,2027.5154315,2156.223958
ms5000,clock,5000.0,2158188,99.97693041044413,5027.697987,5157.145626699999
ms10000,clock,10000.0,2157691,99.95390714536528,10027.681568,10157.497195
ms30000,clock,30000.0,2155694,99.86139716475671,30027.778219,30157.9614615
ev1,event_diagnostic,,2158685,99.99995367552297,2.143649,91.5560984
ev5,event_diagnostic,,2158685,99.99995367552297,59.508084,314.75823200000025
ev10,event_diagnostic,,2158684,99.99990735104596,121.67822100000001,507.2698396
ev25,event_diagnostic,,2158677,99.99958307970682,263.054504,922.3903492000005
ev50,event_diagnostic,,2158662,99.99888821255152,471.98910450000005,1456.9334125
window_ev10,event_window_span,,2158686,100.0,195.74208068847656,598.9308166503906
window_ev25,event_window_span,,2158686,100.0,340.90020751953125,1016.5959777832031
window_ev50,event_window_span,,2158686,100.0,547.0911865234375,1549.96484375
window_ev100,event_window_span,,2158686,100.0,968.8362426757812,2511.0460205078125
