horizon,bucket_on,ofi_decile,n_fills,mean_bucket_value,mean_prev_ofi,frac_passive_buys,markout_ticks,se_ticks,markout_after_crossing_out_ticks,pct_positive,decile_monotonicity_spearman
ms100,prev_ofi,0,4221,-1081.1314697265625,-1081.1314697265625,0.4804282368685179,-0.074389954986977,0.04546014188296251,-1.423596278691724,30.612244897959183,-0.12727272727272726
ms100,prev_ofi,1,4227,-510.3719787597656,-510.3719787597656,0.4964040809499916,-0.0391530636385177,0.0417554645949229,-1.420629262342534,31.326308747282155,-0.12727272727272726
ms100,prev_ofi,2,4287,-305.6123962402344,-305.6123962402344,0.5106276150627616,-0.07417774667601094,0.041860292643569816,-1.4534639349571954,31.497907949790793,-0.12727272727272726
ms100,prev_ofi,3,4204,-165.63844299316406,-165.63844299316406,0.5010940919037199,-0.1365366317792493,0.04507273039896589,-1.5022597268975115,29.17017337148628,-0.12727272727272726
ms100,prev_ofi,4,4226,-52.98590087890625,-52.98590087890625,0.495636119503189,-0.11594888783718463,0.04182835661834139,-1.4873402484000946,30.211480362537763,-0.12727272727272726
ms100,prev_ofi,5,4205,51.205013275146484,51.205013275146484,0.5047619047619047,-0.10404280618310113,0.043142737622051675,-1.4802615670542512,29.55722639933166,-0.12727272727272726
ms100,prev_ofi,6,4220,167.86996459960938,167.86996459960938,0.487751677852349,-0.13163507109006034,0.03289376344924691,-1.529028409750377,30.218120805369125,-0.12727272727272726
ms100,prev_ofi,7,4211,310.0291442871094,310.0291442871094,0.5020934516831351,-0.09760151982902258,0.035513296873165186,-1.4783899047593587,30.631385027633563,-0.12727272727272726
ms100,prev_ofi,8,4254,510.7890930175781,510.7890930175781,0.5054704595185996,-0.12023977433004453,0.041555238224625854,-1.518688267236118,31.711833024743306,-0.12727272727272726
ms100,prev_ofi,9,4246,1082.0125732421875,1082.0125732421875,0.5077207116482041,-0.007418747056060734,0.035951089077265054,-1.3626942755992317,32.3766364551863,-0.12727272727272726
ms250,prev_ofi,0,5149,-1081.1314697265625,-1081.1314697265625,0.4804282368685179,-0.0630219460089322,0.05671513797921591,-1.38085062555125,38.959518233522914,-0.18787878787878787
ms250,prev_ofi,1,5107,-510.3719787597656,-510.3719787597656,0.4964040809499916,-0.053651850401403606,0.04724531105829844,-1.4138437183838204,38.68539889613648,-0.18787878787878787
ms250,prev_ofi,2,5097,-305.6123962402344,-305.6123962402344,0.5106276150627616,-0.07318030213852324,0.03858101343945013,-1.4411418221559211,38.56066945606695,-0.18787878787878787
ms250,prev_ofi,3,5040,-165.63844299316406,-165.63844299316406,0.5010940919037199,-0.10337301587299798,0.04925881443705526,-1.4535714026606863,36.74465578185491,-0.18787878787878787
ms250,prev_ofi,4,5039,-52.98590087890625,-52.98590087890625,0.495636119503189,-0.11381226433815077,0.04733941338117593,-1.4706290669607536,37.39509902651897,-0.18787878787878787
ms250,prev_ofi,5,5112,51.205013275146484,51.205013275146484,0.5047619047619047,-0.06680359937400619,0.038913548541202665,-1.423024230454457,37.87802840434419,-0.18787878787878787
ms250,prev_ofi,6,5132,167.86996459960938,167.86996459960938,0.487751677852349,-0.12383086515979874,0.03246102305579871,-1.4959080018551896,37.5503355704698,-0.18787878787878787
ms250,prev_ofi,7,5071,310.0291442871094,310.0291442871094,0.5020934516831351,-0.06990731611121649,0.033772081403345616,-1.4285150595101848,38.35203483503601,-0.18787878787878787
ms250,prev_ofi,8,5098,510.7890930175781,510.7890930175781,0.5054704595185996,-0.11386818360141078,0.04328888067752591,-1.494213390941213,38.91600740616058,-0.18787878787878787
ms250,prev_ofi,9,5092,1082.0125732421875,1082.0125732421875,0.5077207116482041,-0.052729772191681346,0.026052335862522622,-1.3904163143396435,38.77139979859013,-0.18787878787878787
ms500,prev_ofi,0,5704,-1081.1314697265625,-1081.1314697265625,0.4804282368685179,-0.045319074333807705,0.055623432393320495,-1.3508940842152912,43.89427902308464,-0.21212121212121213
ms500,prev_ofi,1,5692,-510.3719787597656,-510.3719787597656,0.4964040809499916,-0.03970484891075726,0.04551794628298732,-1.383257177560867,44.2548921224285,-0.21212121212121213
ms500,prev_ofi,2,5667,-305.6123962402344,-305.6123962402344,0.5106276150627616,-0.02893947414857775,0.03854694259413373,-1.3784188906768478,44.45188284518829,-0.21212121212121213
ms500,prev_ofi,3,5650,-165.63844299316406,-165.63844299316406,0.5010940919037199,-0.08619469026547498,0.05270238828206708,-1.4192035140499224,42.97256354149133,-0.21212121212121213
ms500,prev_ofi,4,5658,-52.98590087890625,-52.98590087890625,0.495636119503189,-0.06574761399785699,0.05148077837566278,-1.4122481180743853,43.37025847599866,-0.21212121212121213
ms500,prev_ofi,5,5698,51.205013275146484,51.205013275146484,0.5047619047619047,-0.07713232713231857,0.047927258031992034,-1.4224288962492369,43.45864661654135,-0.21212121212121213
ms500,prev_ofi,6,5685,167.86996459960938,167.86996459960938,0.487751677852349,-0.13817062445032666,0.03786912344549759,-1.4999120230744916,42.73489932885906,-0.21212121212121213
ms500,prev_ofi,7,5667,310.0291442871094,310.0291442871094,0.5020934516831351,-0.08064231515794129,0.032559638010176854,-1.425357305677658,43.04136660525875,-0.21212121212121213
ms500,prev_ofi,8,5686,510.7890930175781,510.7890930175781,0.5054704595185996,-0.07966936334856621,0.04499612409423607,-1.4411712719151684,44.52112438983336,-0.21212121212121213
ms500,prev_ofi,9,5675,1082.0125732421875,1082.0125732421875,0.5077207116482041,-0.028105726872244174,0.042001880015514595,-1.3525990939166552,44.64585431352803,-0.21212121212121213
ms1000,prev_ofi,0,5937,-1081.1314697265625,-1081.1314697265625,0.4804282368685179,0.010274549435737638,0.05651011676252366,-1.2882768823788007,46.671127467380394,-0.22424242424242424
