horizon,fill_side,n_fills,markout_ticks,se_ticks
ms100,passive_buy,20971,-0.07510371465356813,0.03328030275707101
ms100,passive_sell,21330,-0.10471167369901944,0.030573945980694732
ms250,passive_buy,25324,-0.08091138840625182,0.03345107073869541
ms250,passive_sell,25613,-0.08579627532893307,0.027527550715388524
ms500,passive_buy,28343,-0.06728292700136786,0.03381685159079124
ms500,passive_sell,28439,-0.06663384788495177,0.024574512968606535
ms1000,passive_buy,29573,-0.04876069387616281,0.033311874144317244
ms1000,passive_sell,29655,-0.058691620300115446,0.032508620868632446
ms2000,passive_buy,29753,-0.0680603636608022,0.028765838352253995
ms2000,passive_sell,29849,-0.07978491741766869,0.040831568641120454
ms5000,passive_buy,29746,-0.049872251731327394,0.03872146266781431
ms5000,passive_sell,29847,-0.02733943109860377,0.0391140534611257
ms10000,passive_buy,29730,-0.032727884291956985,0.048535955664746104
ms10000,passive_sell,29824,0.049423283261806894,0.06117277088714668
ms30000,passive_buy,29664,0.039930555555560486,0.13397333340570758
ms30000,passive_sell,29747,0.08417655561905055,0.12213445588125933
