horizon,model,gate_quantile,queue_ahead_fraction,maker_rebate_per_unit,n_fills,n_days,fills_per_day,markout_ticks,markout_after_crossing_out_ticks,se_ticks,t_stat,below_min_fills,breakeven_rebate_per_unit,breakeven_rebate_ticks
ms1000,M5_full,0.0,0.0,0.0,115005,8,14375.625,0.2550802139037405,-0.992861179948703,0.03513839657691392,7.259301469416773,False,-0.0025508021390374053,-0.2550802139037405
ms1000,M5_full,0.0,0.0,0.001,115005,8,14375.625,0.3550802139037405,-0.8928611799487032,0.03513839657691392,10.105191144009963,False,-0.0025508021390374053,-0.2550802139037405
ms1000,M5_full,0.0,0.0,0.002,115005,8,14375.625,0.45508021390374054,-0.7928611799487031,0.03513839657691392,12.95108081860315,False,-0.0025508021390374053,-0.2550802139037405
ms1000,M5_full,0.0,0.0,0.0025,115005,8,14375.625,0.5050802139037405,-0.742861179948703,0.03513839657691392,14.374025655899745,False,-0.0025508021390374053,-0.2550802139037405
ms1000,M5_full,0.0,0.0,0.003,115005,8,14375.625,0.5550802139037405,-0.6928611799487031,0.03513839657691392,15.79697049319634,False,-0.0025508021390374053,-0.2550802139037405
ms1000,M5_full,0.0,0.25,0.0,55513,8,6939.125,0.09313133860536942,-1.155765316232238,0.026558823206637695,3.50660636884294,False,-0.0009313133860536941,-0.09313133860536942
ms1000,M5_full,0.0,0.25,0.001,55513,8,6939.125,0.19313133860536943,-1.055765316232238,0.026558823206637695,7.2718334356433845,False,-0.0009313133860536941,-0.09313133860536942
ms1000,M5_full,0.0,0.25,0.002,55513,8,6939.125,0.29313133860536944,-0.9557653162322383,0.026558823206637695,11.037060502443827,False,-0.0009313133860536941,-0.09313133860536942
ms1000,M5_full,0.0,0.25,0.0025,55513,8,6939.125,0.34313133860536943,-0.9057653162322382,0.026558823206637695,12.91967403584405,False,-0.0009313133860536941,-0.09313133860536942
ms1000,M5_full,0.0,0.25,0.003,55513,8,6939.125,0.39313133860536936,-0.8557653162322383,0.026558823206637695,14.80228756924427,False,-0.0009313133860536941,-0.09313133860536942
ms1000,M5_full,0.0,0.5,0.0,34423,8,4302.875,0.0951253522354236,-1.1467623391337216,0.03968713688104397,2.396881199078358,False,-0.0009512535223542359,-0.0951253522354236
ms1000,M5_full,0.0,0.5,0.001,34423,8,4302.875,0.19512535223542357,-1.0467623391337215,0.03968713688104397,4.916589292401755,False,-0.0009512535223542359,-0.0951253522354236
ms1000,M5_full,0.0,0.5,0.002,34423,8,4302.875,0.2951253522354236,-0.9467623391337215,0.03968713688104397,7.436297385725153,False,-0.0009512535223542359,-0.0951253522354236
ms1000,M5_full,0.0,0.5,0.0025,34423,8,4302.875,0.34512535223542357,-0.8967623391337215,0.03968713688104397,8.696151432386852,False,-0.0009512535223542359,-0.0951253522354236
ms1000,M5_full,0.0,0.5,0.003,34423,8,4302.875,0.3951253522354236,-0.8467623391337217,0.03968713688104397,9.956005479048551,False,-0.0009512535223542359,-0.0951253522354236
ms1000,M5_full,0.0,1.0,0.0,10598,8,1324.75,0.19027174938668134,-0.9919796187960012,0.059038096760669935,3.222863876489948,False,-0.0019027174938668135,-0.19027174938668134
ms1000,M5_full,0.0,1.0,0.001,10598,8,1324.75,0.2902717493866814,-0.8919796187960013,0.059038096760669935,4.916685416933273,False,-0.0019027174938668135,-0.19027174938668134
ms1000,M5_full,0.0,1.0,0.002,10598,8,1324.75,0.39027174938668135,-0.7919796187960012,0.059038096760669935,6.6105069573765975,False,-0.0019027174938668135,-0.19027174938668134
ms1000,M5_full,0.0,1.0,0.0025,10598,8,1324.75,0.44027174938668134,-0.7419796187960012,0.059038096760669935,7.457417727598259,False,-0.0019027174938668135,-0.19027174938668134
ms1000,M5_full,0.0,1.0,0.003,10598,8,1324.75,0.4902717493866814,-0.6919796187960012,0.059038096760669935,8.304328497819922,False,-0.0019027174938668135,-0.19027174938668134
ms1000,M5_full,0.3,0.0,0.0,74994,8,9374.25,0.2716350641384605,-0.9797317118702894,0.03480031835925958,7.805533884323923,False,-0.0027163506413846053,-0.2716350641384605
ms1000,M5_full,0.3,0.0,0.001,74994,8,9374.25,0.37163506413846054,-0.8797317118702893,0.03480031835925958,10.679070814867327,False,-0.0027163506413846053,-0.2716350641384605
ms1000,M5_full,0.3,0.0,0.002,74994,8,9374.25,0.4716350641384605,-0.7797317118702894,0.03480031835925958,13.552607745410729,False,-0.0027163506413846053,-0.2716350641384605
ms1000,M5_full,0.3,0.0,0.0025,74994,8,9374.25,0.5216350641384605,-0.7297317118702894,0.03480031835925958,14.98937621068243,False,-0.0027163506413846053,-0.2716350641384605
ms1000,M5_full,0.3,0.0,0.003,74994,8,9374.25,0.5716350641384605,-0.6797317118702895,0.03480031835925958,16.42614467595413,False,-0.0027163506413846053,-0.2716350641384605
ms1000,M5_full,0.3,0.25,0.0,35701,8,4462.625,0.12061286798688599,-1.1382314220890244,0.026494878044171225,4.552308857047952,False,-0.0012061286798688599,-0.12061286798688599
ms1000,M5_full,0.3,0.25,0.001,35701,8,4462.625,0.22061286798688598,-1.0382314220890243,0.026494878044171225,8.326623267300526,False,-0.0012061286798688599,-0.12061286798688599
ms1000,M5_full,0.3,0.25,0.002,35701,8,4462.625,0.320612867986886,-0.9382314220890244,0.026494878044171225,12.1009376775531,False,-0.0012061286798688599,-0.12061286798688599
ms1000,M5_full,0.3,0.25,0.0025,35701,8,4462.625,0.370612867986886,-0.8882314220890244,0.026494878044171225,13.988094882679388,False,-0.0012061286798688599,-0.12061286798688599
ms1000,M5_full,0.3,0.25,0.003,35701,8,4462.625,0.42061286798688596,-0.8382314220890246,0.026494878044171225,15.875252087805674,False,-0.0012061286798688599,-0.12061286798688599
ms1000,M5_full,0.3,0.5,0.0,21948,8,2743.5,0.11966921815199576,-1.134773100054676,0.03799096209802113,3.1499391313974927,False,-0.0011966921815199576,-0.11966921815199576
ms1000,M5_full,0.3,0.5,0.001,21948,8,2743.5,0.21966921815199575,-1.0347731000546758,0.03799096209802113,5.782144121152379,False,-0.0011966921815199576,-0.11966921815199576
ms1000,M5_full,0.3,0.5,0.002,21948,8,2743.5,0.3196692181519957,-0.9347731000546761,0.03799096209802113,8.414349110907267,False,-0.0011966921815199576,-0.11966921815199576
ms1000,M5_full,0.3,0.5,0.0025,21948,8,2743.5,0.36966921815199577,-0.884773100054676,0.03799096209802113,9.73045160578471,False,-0.0011966921815199576,-0.11966921815199576
ms1000,M5_full,0.3,0.5,0.003,21948,8,2743.5,0.4196692181519957,-0.8347731000546761,0.03799096209802113,11.046554100662151,False,-0.0011966921815199576,-0.11966921815199576
ms1000,M5_full,0.3,1.0,0.0,6384,8,798.0,0.20300751879699305,-1.006735588972437,0.037056502506437966,5.47832377763454,False,-0.0020300751879699305,-0.20300751879699305
ms1000,M5_full,0.3,1.0,0.001,6384,8,798.0,0.30300751879699306,-0.906735588972437,0.037056502506437966,8.176905490321177,False,-0.0020300751879699305,-0.20300751879699305
ms1000,M5_full,0.3,1.0,0.002,6384,8,798.0,0.40300751879699304,-0.806735588972437,0.037056502506437966,10.875487203007813,False,-0.0020300751879699305,-0.20300751879699305
ms1000,M5_full,0.3,1.0,0.0025,6384,8,798.0,0.4530075187969931,-0.756735588972437,0.037056502506437966,12.224778059351133,False,-0.0020300751879699305,-0.20300751879699305
ms1000,M5_full,0.3,1.0,0.003,6384,8,798.0,0.503007518796993,-0.706735588972437,0.037056502506437966,13.574068915694449,False,-0.0020300751879699305,-0.20300751879699305
ms1000,M5_full,0.5,0.0,0.0,54251,8,6781.375,0.2642347606495669,-0.9857329818805265,0.034156613711485276,7.735976489985513,False,-0.0026423476064956694,-0.2642347606495669
ms1000,M5_full,0.5,0.0,0.001,54251,8,6781.375,0.36423476064956695,-0.8857329818805264,0.034156613711485276,10.66366718100898,False,-0.0026423476064956694,-0.2642347606495669
ms1000,M5_full,0.5,0.0,0.002,54251,8,6781.375,0.4642347606495669,-0.7857329818805264,0.034156613711485276,13.591357872032448,False,-0.0026423476064956694,-0.2642347606495669
ms1000,M5_full,0.5,0.0,0.0025,54251,8,6781.375,0.514234760649567,-0.7357329818805264,0.034156613711485276,15.055203217544184,False,-0.0026423476064956694,-0.2642347606495669
ms1000,M5_full,0.5,0.0,0.003,54251,8,6781.375,0.5642347606495669,-0.6857329818805264,0.034156613711485276,16.519048563055918,False,-0.0026423476064956694,-0.2642347606495669
ms1000,M5_full,0.5,0.25,0.0,26033,8,3254.125,0.12207582683516648,-1.1342910920754474,0.03333880817893898,3.6616733921605826,False,-0.0012207582683516648,-0.12207582683516648
ms1000,M5_full,0.5,0.25,0.001,26033,8,3254.125,0.2220758268351665,-1.0342910920754473,0.03333880817893898,6.661180736972407,False,-0.0012207582683516648,-0.12207582683516648
ms1000,M5_full,0.5,0.25,0.002,26033,8,3254.125,0.3220758268351665,-0.9342910920754474,0.03333880817893898,9.660688081784231,False,-0.0012207582683516648,-0.12207582683516648
ms1000,M5_full,0.5,0.25,0.0025,26033,8,3254.125,0.3720758268351665,-0.8842910920754473,0.03333880817893898,11.160441754190144,False,-0.0012207582683516648,-0.12207582683516648
ms1000,M5_full,0.5,0.25,0.003,26033,8,3254.125,0.42207582683516653,-0.8342910920754475,0.03333880817893898,12.660195426596058,False,-0.0012207582683516648,-0.12207582683516648
ms1000,M5_full,0.5,0.5,0.0,16137,8,2017.125,0.13128214661957172,-1.122699386503067,0.04622639371128426,2.8399824446509787,False,-0.001312821466195717,-0.13128214661957172
ms1000,M5_full,0.5,0.5,0.001,16137,8,2017.125,0.2312821466195717,-1.022699386503067,0.04622639371128426,5.003248751440322,False,-0.001312821466195717,-0.13128214661957172
ms1000,M5_full,0.5,0.5,0.002,16137,8,2017.125,0.3312821466195717,-0.9226993865030669,0.04622639371128426,7.166515058229664,False,-0.001312821466195717,-0.13128214661957172
ms1000,M5_full,0.5,0.5,0.0025,16137,8,2017.125,0.3812821466195717,-0.8726993865030669,0.04622639371128426,8.248148211624336,False,-0.001312821466195717,-0.13128214661957172
ms1000,M5_full,0.5,0.5,0.003,16137,8,2017.125,0.4312821466195717,-0.8226993865030671,0.04622639371128426,9.329781365019008,False,-0.001312821466195717,-0.13128214661957172
ms1000,M5_full,0.5,1.0,0.0,4549,8,568.625,0.2058694218509599,-0.9997801714662613,0.04988547307266648,4.126841125693584,False,-0.002058694218509599,-0.2058694218509599
ms1000,M5_full,0.5,1.0,0.001,4549,8,568.625,0.3058694218509599,-0.8997801714662613,0.04988547307266648,6.131432720010699,False,-0.002058694218509599,-0.2058694218509599
ms1000,M5_full,0.5,1.0,0.002,4549,8,568.625,0.4058694218509599,-0.7997801714662612,0.04988547307266648,8.136024314327814,False,-0.002058694218509599,-0.2058694218509599
ms1000,M5_full,0.5,1.0,0.0025,4549,8,568.625,0.45586942185095997,-0.7497801714662612,0.04988547307266648,9.138320111486372,False,-0.002058694218509599,-0.2058694218509599
ms1000,M5_full,0.5,1.0,0.003,4549,8,568.625,0.50586942185096,-0.6997801714662613,0.04988547307266648,10.140615908644929,False,-0.002058694218509599,-0.2058694218509599
ms1000,M5_full,0.7,0.0,0.0,34213,8,4276.625,0.25700757022183807,-0.9869932481805229,0.04110091105358419,6.253086942203579,False,-0.0025700757022183805,-0.25700757022183807
ms1000,M5_full,0.7,0.0,0.001,34213,8,4276.625,0.35700757022183804,-0.8869932481805228,0.04110091105358419,8.686123034022266,False,-0.0025700757022183805,-0.25700757022183807
ms1000,M5_full,0.7,0.0,0.002,34213,8,4276.625,0.457007570221838,-0.7869932481805229,0.04110091105358419,11.119159125840955,False,-0.0025700757022183805,-0.25700757022183807
ms1000,M5_full,0.7,0.0,0.0025,34213,8,4276.625,0.5070075702218381,-0.7369932481805228,0.04110091105358419,12.3356771717503,False,-0.0025700757022183805,-0.25700757022183807
ms1000,M5_full,0.7,0.0,0.003,34213,8,4276.625,0.557007570221838,-0.6869932481805229,0.04110091105358419,13.552195217659643,False,-0.0025700757022183805,-0.25700757022183807
ms1000,M5_full,0.7,0.25,0.0,16685,8,2085.625,0.11962840875036902,-1.1356308061132783,0.03888632231610102,3.0763621146254927,False,-0.0011962840875036902,-0.11962840875036902
ms1000,M5_full,0.7,0.25,0.001,16685,8,2085.625,0.21962840875036901,-1.0356308061132782,0.03888632231610102,5.647960405333345,False,-0.0011962840875036902,-0.11962840875036902
ms1000,M5_full,0.7,0.25,0.002,16685,8,2085.625,0.319628408750369,-0.9356308061132782,0.03888632231610102,8.219558696041197,False,-0.0011962840875036902,-0.11962840875036902
ms1000,M5_full,0.7,0.25,0.0025,16685,8,2085.625,0.369628408750369,-0.8856308061132782,0.03888632231610102,9.505357841395124,False,-0.0011962840875036902,-0.11962840875036902
ms1000,M5_full,0.7,0.25,0.003,16685,8,2085.625,0.419628408750369,-0.8356308061132782,0.03888632231610102,10.791156986749048,False,-0.0011962840875036902,-0.11962840875036902
ms1000,M5_full,0.7,0.5,0.0,10395,8,1299.375,0.13900913900913833,-1.114093314093312,0.06718250101974652,2.0691271819172123,False,-0.0013900913900913834,-0.13900913900913833
ms1000,M5_full,0.7,0.5,0.001,10395,8,1299.375,0.2390091390091383,-1.014093314093312,0.06718250101974652,3.5576100231649295,False,-0.0013900913900913834,-0.13900913900913833
ms1000,M5_full,0.7,0.5,0.002,10395,8,1299.375,0.3390091390091383,-0.9140933140933122,0.06718250101974652,5.046092864412648,False,-0.0013900913900913834,-0.13900913900913833
ms1000,M5_full,0.7,0.5,0.0025,10395,8,1299.375,0.38900913900913836,-0.8640933140933121,0.06718250101974652,5.790334285036507,False,-0.0013900913900913834,-0.13900913900913833
ms1000,M5_full,0.7,0.5,0.003,10395,8,1299.375,0.4390091390091383,-0.8140933140933122,0.06718250101974652,6.534575705660365,False,-0.0013900913900913834,-0.13900913900913833
ms1000,M5_full,0.7,1.0,0.0,2892,8,361.5,0.21334716459197253,-0.9917012448132895,0.0844471049915212,2.5263999827275714,False,-0.0021334716459197253,-0.21334716459197253
ms1000,M5_full,0.7,1.0,0.001,2892,8,361.5,0.31334716459197254,-0.8917012448132894,0.0844471049915212,3.7105731999153053,False,-0.0021334716459197253,-0.21334716459197253
ms1000,M5_full,0.7,1.0,0.002,2892,8,361.5,0.4133471645919725,-0.7917012448132894,0.0844471049915212,4.89474641710304,False,-0.0021334716459197253,-0.21334716459197253
ms1000,M5_full,0.7,1.0,0.0025,2892,8,361.5,0.46334716459197256,-0.7417012448132894,0.0844471049915212,5.486833025696907,False,-0.0021334716459197253,-0.21334716459197253
ms1000,M5_full,0.7,1.0,0.003,2892,8,361.5,0.5133471645919725,-0.6917012448132894,0.0844471049915212,6.078919634290774,False,-0.0021334716459197253,-0.21334716459197253
ms1000,M5_full,0.9,0.0,0.0,12375,8,1546.875,0.24193939393939118,-0.9937777777777792,0.06852300047920123,3.530776414451188,False,-0.0024193939393939118,-0.24193939393939118
ms1000,M5_full,0.9,0.0,0.001,12375,8,1546.875,0.34193939393939116,-0.8937777777777791,0.06852300047920123,4.990140413410238,False,-0.0024193939393939118,-0.24193939393939118
ms1000,M5_full,0.9,0.0,0.002,12375,8,1546.875,0.4419393939393912,-0.7937777777777791,0.06852300047920123,6.449504412369288,False,-0.0024193939393939118,-0.24193939393939118
ms1000,M5_full,0.9,0.0,0.0025,12375,8,1546.875,0.4919393939393912,-0.7437777777777791,0.06852300047920123,7.1791864118488125,False,-0.0024193939393939118,-0.24193939393939118
ms1000,M5_full,0.9,0.0,0.003,12375,8,1546.875,0.5419393939393912,-0.6937777777777792,0.06852300047920123,7.908868411328337,False,-0.0024193939393939118,-0.24193939393939118
ms1000,M5_full,0.9,0.25,0.0,6318,8,789.75,0.1447451725229464,-1.0897435897435923,0.11528824577120393,1.2555067652794494,False,-0.0014474517252294641,-0.1447451725229464
ms1000,M5_full,0.9,0.25,0.001,6318,8,789.75,0.2447451725229464,-0.9897435897435923,0.11528824577120393,2.1228978798815024,False,-0.0014474517252294641,-0.1447451725229464
ms1000,M5_full,0.9,0.25,0.002,6318,8,789.75,0.3447451725229464,-0.8897435897435922,0.11528824577120393,2.990288994483555,False,-0.0014474517252294641,-0.1447451725229464
ms1000,M5_full,0.9,0.25,0.0025,6318,8,789.75,0.39474517252294644,-0.8397435897435922,0.11528824577120393,3.423984551784582,False,-0.0014474517252294641,-0.1447451725229464
ms1000,M5_full,0.9,0.25,0.003,6318,8,789.75,0.4447451725229464,-0.7897435897435922,0.11528824577120393,3.8576801090856083,False,-0.0014474517252294641,-0.1447451725229464
