fold,model,horizon,test_day,r2_in_sample,sigma_resid,oos_r2,oos_corr,dir_acc,pct_unchanged,n_oos,beta_1,beta_1_t,beta_1_name,chosen_z_threshold,bt_trade_count,bt_gross_pnl,bt_net_pnl,bt_total_costs,bt_hit_rate,bt_avg_pnl,bt_sharpe_like,bt_max_drawdown,bt_turnover
0,M5_full,ms100,2026-07-29,0.0023731991768083383,0.011407642771606198,0.0005142859339921646,0.026223127276973117,0.5135679631609242,45.31432682795216,88952,0.00031703775139544743,15.83392927804864,OFI1_ev50,,,,,,,,,,
0,M6_wave,ms100,2026-07-29,0.002757258014748687,0.011405446746116037,0.0007537647967247318,0.030348471297969228,0.5189951484252939,45.31432682795216,88952,0.0002599683246403491,10.791868998592735,OFI1_ev50,,,,,,,,,,
1,M5_full,ms100,2026-07-30,0.002384526731349257,0.011502669893553344,0.0015118341066839847,0.03933025408271622,0.5235273425873312,51.23763029423407,75790,0.0003334486697920473,16.77099586725876,OFI1_ev50,,,,,,,,,,
1,M6_wave,ms100,2026-07-30,0.002794752870270978,0.011500304663074341,0.002015923195785696,0.04524297791960689,0.5333495684173499,51.23763029423407,75790,0.00027062072733984575,11.402112601303712,OFI1_ev50,,,,,,,,,,
2,M5_full,ms100,2026-07-31,0.002205475067615037,0.01143819741532067,0.0013207658504912345,0.03676352343903398,0.5191968390447553,49.17011924009701,79168,0.0003201169731884392,16.753195371594366,OFI1_ev50,,,,,,,,,,
2,M6_wave,ms100,2026-07-31,0.00251259971913409,0.011436436921214014,0.0018632358029422313,0.04324041952268081,0.5236450386421808,49.17011924009701,79168,0.0002599849629266566,11.702237202641408,OFI1_ev50,,,,,,,,,,
3,M5_full,ms100,2026-08-03,0.0019745892030494927,0.011492854361281985,0.0026227533881482135,0.05308665373030101,0.5370180945998377,51.30032980623883,58216,0.0002918657056661222,15.978838533732048,OFI1_ev50,,,,,,,,,,
3,M6_wave,ms100,2026-08-03,0.002289594665959349,0.01149104048080226,0.003170881936493508,0.05938554235453484,0.5451659553454905,51.30032980623883,58216,0.00022508871633842962,10.945874990722656,OFI1_ev50,,,,,,,,,,
4,M5_full,ms100,2026-08-04,0.001953200393437937,0.011489040123943564,0.0038307048141513755,0.06480313626249684,0.5397604031100878,55.146607594557786,66811,0.00025803037399664287,14.881924851058452,OFI1_ev50,,,,,,,,,,
4,M6_wave,ms100,2026-08-04,0.002285407351369839,0.011487127860545352,0.004733550701134681,0.0714836172909108,0.5489037941735909,55.146607594557786,66811,0.000185892877604721,9.28543785823012,OFI1_ev50,,,,,,,,,,
5,M5_full,ms100,2026-08-05,0.00172974855018182,0.011408076165662442,0.0024608908512511185,0.05202864165714455,0.5323125603346562,48.94024864450408,73036,0.00023448724634712095,14.039299545200244,OFI1_ev50,,,,,,,,,,
5,M6_wave,ms100,2026-08-05,0.0020258149155494287,0.011406384340174188,0.0032933987800085607,0.06120002548922304,0.5423415209696449,48.94024864450408,73036,0.00016363788664251747,8.339984391203089,OFI1_ev50,,,,,,,,,,
6,M5_full,ms100,2026-08-06,0.0017383772385792806,0.01147930585355844,0.0027883863230568906,0.059469405094085645,0.5382739212007505,47.29407111274351,70789,0.00021715515660520126,13.038025405249574,OFI1_ev50,,,,,,,,,,
6,M6_wave,ms100,2026-08-06,0.0020368406172243114,0.011477589665907874,0.0038921140568165535,0.07224822780272967,0.5534173143929242,47.29407111274351,70789,0.00014482242777871113,7.494750457293573,OFI1_ev50,,,,,,,,,,
7,M5_full,ms100,2026-08-07,0.0018445812206135948,0.01145171760301811,0.002377841409625714,0.05022846058562358,0.533350627452252,51.23112200521863,63235,0.0002255315252031974,13.932221312000603,OFI1_ev50,,,,,,,,,,
7,M6_wave,ms100,2026-08-07,0.0021683716175940893,0.011449860048136145,0.003063577836346032,0.05758756284516569,0.5474237167223321,51.23112200521863,63235,0.00015271372315209242,8.197028359242097,OFI1_ev50,,,,,,,,,,
