event_id,raw_row_id,ts_recv,ts_event,sequence,action,side,price,size,F_LAST,F_SNAPSHOT,F_MAYBE_BAD_BOOK,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,canonical_event_id,signed_trade_volume,trade_size,n_records,actions,bid_price_1,ask_price_1,bid_size_1,ask_size_1
0,10125,2026-08-05 13:30:00.001941468+00:00,2026-08-05 13:30:00.001774489+00:00,49583579,A,B,99.23,49,True,False,False,99.3,99.65,550,110,0,0.0,,1,A,99.3,99.65,550,110
1,10126,2026-08-05 13:30:00.018472925+00:00,2026-08-05 13:30:00.018302250+00:00,49594722,A,B,99.3,100,True,False,False,99.3,99.65,650,110,1,0.0,,1,A,99.3,99.65,650,110
2,10127,2026-08-05 13:30:00.028568027+00:00,2026-08-05 13:30:00.028395483+00:00,49608081,A,B,99.3,100,True,False,False,99.3,99.65,750,110,2,0.0,,1,A,99.3,99.65,750,110
3,10128,2026-08-05 13:30:00.052720720+00:00,2026-08-05 13:30:00.052548892+00:00,49632822,T,N,99.43,200,True,False,False,99.3,99.65,750,110,3,0.0,200.0,1,T,99.3,99.65,750,110
4,10129,2026-08-05 13:30:00.055144365+00:00,2026-08-05 13:30:00.054976110+00:00,49635326,A,A,99.59,50,True,False,False,99.3,99.59,750,50,4,0.0,,1,A,99.3,99.59,750,50
5,10130,2026-08-05 13:30:00.061616791+00:00,2026-08-05 13:30:00.061449713+00:00,49641258,C,B,99.3,100,True,False,False,99.3,99.59,650,50,5,0.0,,1,C,99.3,99.59,650,50
6,10131,2026-08-05 13:30:00.061884431+00:00,2026-08-05 13:30:00.061717007+00:00,49641341,A,A,99.53,50,True,False,False,99.3,99.53,650,50,6,0.0,,1,A,99.3,99.53,650,50
7,10132,2026-08-05 13:30:00.061909211+00:00,2026-08-05 13:30:00.061741975+00:00,49641344,C,A,99.59,50,True,False,False,99.3,99.53,650,50,7,0.0,,1,C,99.3,99.53,650,50
8,10133,2026-08-05 13:30:00.061912792+00:00,2026-08-05 13:30:00.061746017+00:00,49641345,A,A,99.5,50,True,False,False,99.3,99.5,650,50,8,0.0,,1,A,99.3,99.5,650,50
9,10134,2026-08-05 13:30:00.062056966+00:00,2026-08-05 13:30:00.061890355+00:00,49641361,C,A,99.53,50,True,False,False,99.3,99.5,650,50,9,0.0,,1,C,99.3,99.5,650,50
10,10135,2026-08-05 13:30:00.062062958+00:00,2026-08-05 13:30:00.061894840+00:00,49641365,A,A,99.44,50,True,False,False,99.3,99.44,650,50,10,0.0,,1,A,99.3,99.44,650,50
11,10136,2026-08-05 13:30:00.062088079+00:00,2026-08-05 13:30:00.061921101+00:00,49641374,A,A,99.5,50,True,False,False,99.3,99.44,650,50,11,0.0,,1,A,99.3,99.44,650,50
12,10137,2026-08-05 13:30:00.062325682+00:00,2026-08-05 13:30:00.062158406+00:00,49641415,C,A,99.5,50,True,False,False,99.3,99.44,650,50,12,0.0,,1,C,99.3,99.44,650,50
13,10138,2026-08-05 13:30:00.062704235+00:00,2026-08-05 13:30:00.062531655+00:00,49641750,C,B,99.3,100,True,False,False,99.3,99.44,550,50,13,0.0,,1,C,99.3,99.44,550,50
14,10139,2026-08-05 13:30:00.068473592+00:00,2026-08-05 13:30:00.068304505+00:00,49649152,C,A,99.8,300,True,False,False,99.3,99.44,550,50,14,0.0,,1,C,99.3,99.44,550,50
15,10140,2026-08-05 13:30:00.070920816+00:00,2026-08-05 13:30:00.070752798+00:00,49652081,A,B,99.15,110,True,False,False,99.3,99.44,550,50,15,0.0,,1,A,99.3,99.44,550,50
16,10141,2026-08-05 13:30:00.081742470+00:00,2026-08-05 13:30:00.081563379+00:00,49664559,A,A,99.44,40,True,False,False,99.3,99.44,550,90,16,0.0,,1,A,99.3,99.44,550,90
17,10142,2026-08-05 13:30:00.082217149+00:00,2026-08-05 13:30:00.082049244+00:00,49665072,A,A,99.8,300,True,False,False,99.3,99.44,550,90,17,0.0,,1,A,99.3,99.44,550,90
